# Imagen en formato matriz (32x8 escala de grises)
# Valores: 0-255
0,15,30,45,60,75,90,105
20,35,50,65,80,95,110,125
40,55,70,85,100,115,130,145
60,75,90,105,120,135,150,165
80,95,110,125,140,155,170,185
100,115,130,145,160,175,190,205
120,135,150,165,180,195,210,225
140,155,170,185,200,215,230,245
15,30,45,60,75,90,105,120
35,50,65,80,95,110,125,140
55,70,85,100,115,130,145,160
75,90,105,120,135,150,165,180
95,110,125,140,155,170,185,200
115,130,145,160,175,190,205,220
135,150,165,180,195,210,225,240
155,170,185,200,215,230,245,255
30,45,60,75,90,105,120,135
50,65,80,95,110,125,140,155
70,85,100,115,130,145,160,175
90,105,120,135,150,165,180,195
110,125,140,155,170,185,200,215
130,145,160,175,190,205,220,235
150,165,180,195,210,225,240,255
170,185,200,215,230,245,255,255
45,60,75,90,105,120,135,150
65,80,95,110,125,140,155,170
85,100,115,130,145,160,175,190
105,120,135,150,165,180,195,210
125,140,155,170,185,200,215,230
145,160,175,190,205,220,235,250
165,180,195,210,225,240,255,255
185,200,215,230,245,255,255,255
