120. 5,3,5,250. 3
85.2,2,10,180.5
200.0,4,2,450.8
95.3,2,8,195.2
150.7,3,4,320.5
75.0,1,15,140.3
180.5,4,3,390.2
110.2,3,7,235.1
130.8,3,6,275.4
165.3,3,3,350.6
90.5,2,9,175.8
145.2,3,5,295.7
100.5,2,8,210.3
175.8,4,2,380.9
125.3,3,6,260.5
85.7,2,12,165.2
155.2,3,4,315.8
105.8,3,7,225.4
140.5,3,5,285.3
170.2,4,3,365.7
95.8,2,10,185.6
160.5,3,3,340.2
115.2,3,6,245.8
135.7,3,5,280.6
190.3,4,2,420.5
80.5,1,14,155.3
150.8,3,4,310.7
110.7,3,7,240.2
125.9,3,6,265.4
175.5,4,3,375.8
92.3,2,9,180.7
145.8,3,5,300.5
102.5,2,8,215.6
180.2,4,2,395.3
128.5,3,6,270.8
88.2,2,11,172.5
158.7,3,4,325.2
108.3,3,7,230.7
142.5,3,5,290.8
172.8,4,3,370.5
